State/UT,Population_1981_thousands
Andhra Pradesh,53551
Arunachal Pradesh,632
"Assam (not enumerated, est.)",18041
Bihar,52303
"Goa, Daman & Diu",1007
Gujarat,34083
Haryana,12962
Himachal Pradesh,4280
"Jammu & Kashmir (not enumerated, est.)",5987
Karnataka,37136
Kerala,25452
Madhya Pradesh,38169
Maharashtra,62783
Manipur,1420
Meghalaya,1336
Mizoram,493
Nagaland,775
Orissa,26374
Punjab,16787
Rajasthan,34262
Sikkim,316
Tamil Nadu,48408
Tripura,2053
Uttar Pradesh,105113
West Bengal,54540
Andaman & Nicobar Islands,189
Chandigarh,452
Delhi,6220
Lakshadweep,32
Pondicherry,604
