state,year,population,population_crore
Andaman & Nicobar Islands,1971,115.0,1.15e-05
Andaman & Nicobar Islands,1981,189.0,1.89e-05
Andaman & Nicobar Islands,1991,281.0,2.81e-05
Andaman & Nicobar Islands,2001,357.0,3.57e-05
Andaman & Nicobar Islands,2011,380.0,3.8e-05
Andaman & Nicobar Islands,2016,0.039,3.9e-09
Andaman & Nicobar Islands,2021,0.04,4e-09
Andaman & Nicobar Islands,2026,0.0406,4.06e-09
Andaman & Nicobar Islands,2031,0.041,4.1e-09
Andaman & Nicobar Islands,2036,0.0413,4.1300000000000004e-09
Andhra Pradesh,1971,43503.0,0.0043503
Andhra Pradesh,1981,53551.0,0.0053551
Andhra Pradesh,1991,66508.0,0.0066508
Andhra Pradesh,2001,76210.0,0.007621
Andhra Pradesh,2011,84581.0,0.0084581
Andhra Pradesh,2016,5.13,5.13e-07
Andhra Pradesh,2021,5.27,5.27e-07
Andhra Pradesh,2026,5.37,5.37e-07
Andhra Pradesh,2031,5.41,5.41e-07
Andhra Pradesh,2036,5.42,5.42e-07
Arunachal Pradesh,1981,632.0,6.32e-05
Arunachal Pradesh,1991,865.0,8.65e-05
Arunachal Pradesh,2001,1091.0,0.0001091
Arunachal Pradesh,2011,1384.0,0.0001384
Arunachal Pradesh,2016,0.14,1.4000000000000001e-08
Arunachal Pradesh,2021,0.15,1.5e-08
Arunachal Pradesh,2026,0.16,1.6e-08
Arunachal Pradesh,2031,0.16,1.6e-08
Arunachal Pradesh,2036,0.17,1.7e-08
Assam,1971,14626.0,0.0014626
Assam,1991,22414.0,0.0022414
Assam,2001,26655.0,0.0026655
Assam,2011,31206.0,0.0031206
Assam,2016,3.31,3.31e-07
Assam,2021,3.5,3.5e-07
Assam,2026,3.67,3.67e-07
Assam,2031,3.81,3.81e-07
Assam,2036,3.93,3.9300000000000004e-07
"Assam (not enumerated, est.)",1981,18041.0,0.0018041
Bihar,1971,42127.0,0.0042127
Bihar,1981,52303.0,0.0052303
Bihar,1991,64531.0,0.0064531
Bihar,2001,82999.0,0.0082999
Bihar,2011,104099.0,0.0104099
Bihar,2016,11.41,1.141e-06
Bihar,2021,12.3,1.23e-06
Bihar,2026,13.22,1.322e-06
Bihar,2031,14.1,1.41e-06
Bihar,2036,14.85,1.485e-06
Chandigarh,1971,257.0,2.57e-05
Chandigarh,1981,452.0,4.52e-05
Chandigarh,1991,642.0,6.42e-05
Chandigarh,2001,900.0,9e-05
Chandigarh,2011,1055.0,0.0001055
Chandigarh,2016,0.11,1.1e-08
Chandigarh,2021,0.12,1.2e-08
Chandigarh,2026,0.126,1.26e-08
Chandigarh,2031,0.131,1.31e-08
Chandigarh,2036,0.136,1.3600000000000001e-08
Chhattisgarh,2001,20800.0,0.00208
Chhattisgarh,2011,25545.0,0.0025545
Chhattisgarh,2016,2.75,2.75e-07
Chhattisgarh,2021,2.94,2.94e-07
Chhattisgarh,2026,3.12,3.12e-07
Chhattisgarh,2031,3.27,3.27e-07
Chhattisgarh,2036,3.4,3.4e-07
Dadra and Nagar Haveli & Daman & Diu,2001,220.0,2.2e-05
Dadra and Nagar Haveli & Daman & Diu,2011,343.0,3.43e-05
Dadra and Nagar Haveli & Daman & Diu,2016,0.045,4.5e-09
Dadra and Nagar Haveli & Daman & Diu,2021,0.06,6e-09
Dadra and Nagar Haveli & Daman & Diu,2026,0.083,8.3e-09
Dadra and Nagar Haveli & Daman & Diu,2031,0.117,1.17e-08
Dadra and Nagar Haveli & Daman & Diu,2036,0.17,1.7e-08
Daman & Diu,2001,101.0,1.01e-05
Daman & Diu,2011,243.0,2.43e-05
Daman & Diu,2016,0.032,3.2e-09
Daman & Diu,2021,0.045,4.5e-09
Daman & Diu,2026,0.07,7.000000000000001e-09
Daman & Diu,2031,0.113,1.13e-08
Daman & Diu,2036,0.196,1.96e-08
Delhi,1971,4066.0,0.0004066
Delhi,1981,6220.0,0.000622
Delhi,1991,9420.0,0.000942
Delhi,2001,13883.0,0.0013883
Delhi,2011,16788.0,0.0016788
Delhi (NCT),2011,1.67,1.67e-07
Delhi (NCT),2016,1.86,1.86e-07
Delhi (NCT),2021,2.05,2.0499999999999997e-07
Delhi (NCT),2026,2.25,2.25e-07
Delhi (NCT),2031,2.45,2.4500000000000004e-07
Delhi (NCT),2036,2.65,2.65e-07
Goa,1991,1177.0,0.0001177
Goa,2001,1348.0,0.0001348
Goa,2011,1459.0,0.0001459
Goa,2016,0.151,1.51e-08
Goa,2021,0.155,1.55e-08
Goa,2026,0.159,1.59e-08
Goa,2031,0.163,1.63e-08
Goa,2036,0.166,1.66e-08
"Goa, Daman & Diu",1971,795.0,7.95e-05
"Goa, Daman & Diu",1981,1007.0,0.0001007
Gujarat,1971,26697.0,0.0026697
Gujarat,1981,34083.0,0.0034083
Gujarat,1991,41309.0,0.0041309
Gujarat,2001,50571.0,0.0050571
Gujarat,2011,60439.0,0.0060439
Gujarat,2016,6.51,6.51e-07
Gujarat,2021,6.97,6.97e-07
Gujarat,2026,7.4,7.4e-07
Gujarat,2031,7.79,7.79e-07
Gujarat,2036,8.13,8.130000000000001e-07
Haryana,1971,10036.0,0.0010036
Haryana,1981,12962.0,0.0012962
Haryana,1991,16464.0,0.0016464
Haryana,2001,21144.0,0.0021144
Haryana,2011,25351.0,0.0025351
Haryana,2016,2.74,2.7400000000000004e-07
Haryana,2021,2.94,2.94e-07
Haryana,2026,3.12,3.12e-07
Haryana,2031,3.29,3.29e-07
Haryana,2036,3.44,3.44e-07
Himachal Pradesh,1971,3460.0,0.000346
Himachal Pradesh,1981,4280.0,0.000428
Himachal Pradesh,1991,5171.0,0.0005171
Himachal Pradesh,2001,6077.0,0.0006077
Himachal Pradesh,2011,6857.0,0.0006857
Himachal Pradesh,2016,0.71,7.1e-08
Himachal Pradesh,2021,0.73,7.299999999999999e-08
Himachal Pradesh,2026,0.75,7.5e-08
Himachal Pradesh,2031,0.771,7.71e-08
Himachal Pradesh,2036,0.778,7.780000000000001e-08
Jammu & Kashmir,1971,6307.0,0.0006307
Jammu & Kashmir,1991,7719.0,0.0007719
Jammu & Kashmir,2001,10144.0,0.0010144
Jammu & Kashmir,2011,12549.0,0.0012549
Jammu & Kashmir,2016,1.28,1.28e-07
Jammu & Kashmir,2021,1.34,1.34e-07
Jammu & Kashmir,2026,1.38,1.38e-07
Jammu & Kashmir,2031,1.43,1.43e-07
Jammu & Kashmir,2036,1.47,1.47e-07
"Jammu & Kashmir (not enumerated, est.)",1981,5987.0,0.0005987
Jharkhand,2001,26961.0,0.0026961
Jharkhand,2011,32966.0,0.0032966
Jharkhand,2016,3.58,3.58e-07
Jharkhand,2021,3.84,3.84e-07
Jharkhand,2026,4.09,4.0899999999999997e-07
Jharkhand,2031,4.32,4.32e-07
Jharkhand,2036,4.51,4.51e-07
Karnataka,1981,37136.0,0.0037136
Karnataka,1991,44978.0,0.0044978
Karnataka,2001,52850.0,0.005285
Karnataka,2011,61131.0,0.0061131
Karnataka,2016,6.42,6.42e-07
Karnataka,2021,6.68,6.68e-07
Karnataka,2026,6.89,6.89e-07
Karnataka,2031,7.06,7.06e-07
Karnataka,2036,7.19,7.19e-07
Kerala,1971,21347.0,0.0021347
Kerala,1981,25452.0,0.0025452
Kerala,1991,29118.0,0.0029118
Kerala,2001,31838.0,0.0031838
Kerala,2011,33406.0,0.0033406
Kerala,2016,3.45,3.4500000000000003e-07
Kerala,2021,3.54,3.54e-07
Kerala,2026,3.62,3.62e-07
Kerala,2031,3.66,3.66e-07
Kerala,2036,3.69,3.69e-07
Ladakh,2011,0.027,2.6999999999999998e-09
Ladakh,2016,0.028,2.8000000000000003e-09
Ladakh,2021,0.029,2.9000000000000003e-09
Ladakh,2026,0.03,3e-09
Ladakh,2031,0.0312,3.12e-09
Ladakh,2036,0.0316,3.1600000000000003e-09
Lakshadweep,1971,22.0,2.2e-06
Lakshadweep,1981,32.0,3.2e-06
Lakshadweep,1991,52.0,5.2e-06
Lakshadweep,2001,61.0,6.1e-06
Lakshadweep,2011,64.0,6.4e-06
Lakshadweep,2016,0.0067,6.700000000000001e-10
Lakshadweep,2021,0.0068,6.799999999999999e-10
Lakshadweep,2026,0.007,7.000000000000001e-10
Lakshadweep,2031,0.0071,7.1e-10
Lakshadweep,2036,0.0071,7.1e-10
Madhya Pradesh,1971,30017.0,0.0030017
Madhya Pradesh,1981,38169.0,0.0038169
Madhya Pradesh,1991,48566.0,0.0048566
Madhya Pradesh,2001,60348.0,0.0060348
Madhya Pradesh,2011,72598.0,0.0072598
Madhya Pradesh,2016,7.88,7.88e-07
Madhya Pradesh,2021,8.45,8.45e-07
Madhya Pradesh,2026,8.96,8.960000000000001e-07
Madhya Pradesh,2031,9.4,9.4e-07
Madhya Pradesh,2036,9.78,9.78e-07
Maharashtra,1971,50412.0,0.0050412
Maharashtra,1981,62783.0,0.0062783
Maharashtra,1991,78937.0,0.0078937
Maharashtra,2001,96879.0,0.0096879
Maharashtra,2011,112374.0,0.0112374
Maharashtra,2016,11.87,1.1869999999999998e-06
Maharashtra,2021,12.44,1.2439999999999999e-06
Maharashtra,2026,12.93,1.293e-06
Maharashtra,2031,13.34,1.334e-06
Maharashtra,2036,13.67,1.367e-06
Manipur,1971,1070.0,0.000107
Manipur,1981,1420.0,0.000142
Manipur,1991,1837.0,0.0001837
Manipur,2001,2389.0,0.0002389
Manipur,2011,2722.0,0.0002722
Manipur,2016,0.3,3e-08
Manipur,2021,0.31,3.1e-08
Manipur,2026,0.33,3.3000000000000004e-08
Manipur,2031,0.34,3.4e-08
Manipur,2036,0.35,3.4999999999999996e-08
Meghalaya,1971,1012.0,0.0001012
Meghalaya,1981,1336.0,0.0001336
Meghalaya,1991,1775.0,0.0001775
Meghalaya,2001,2319.0,0.0002319
Meghalaya,2011,2964.0,0.0002964
Meghalaya,2016,0.312,3.12e-08
Meghalaya,2021,0.3288,3.288e-08
Meghalaya,2026,0.344,3.44e-08
Meghalaya,2031,0.357,3.5699999999999995e-08
Meghalaya,2036,0.368,3.68e-08
Mizoram,1981,493.0,4.93e-05
Mizoram,1991,690.0,6.9e-05
Mizoram,2001,889.0,8.89e-05
Mizoram,2011,1097.0,0.0001097
Mizoram,2016,0.115,1.15e-08
Mizoram,2021,0.121,1.2099999999999999e-08
Mizoram,2026,0.127,1.27e-08
Mizoram,2031,0.132,1.32e-08
Mizoram,2036,0.136,1.3600000000000001e-08
Mysore (Karnataka),1971,29299.0,0.0029299
Nagaland,1971,516.0,5.16e-05
Nagaland,1981,775.0,7.75e-05
Nagaland,1991,1210.0,0.000121
Nagaland,2001,1990.0,0.000199
Nagaland,2011,1979.0,0.0001979
Nagaland,2016,0.2,2e-08
Nagaland,2021,0.21,2.1e-08
Nagaland,2026,0.22,2.2e-08
Nagaland,2031,0.23,2.3e-08
Nagaland,2036,0.24,2.4e-08
Odisha,2011,41974.0,0.0041974
Odisha,2016,4.39,4.3899999999999995e-07
Odisha,2021,4.56,4.5599999999999995e-07
Odisha,2026,4.71,4.71e-07
Odisha,2031,4.82,4.82e-07
Odisha,2036,4.9,4.900000000000001e-07
Orissa,1971,21944.0,0.0021944
Orissa,1981,26374.0,0.0026374
Orissa,1991,31660.0,0.003166
Orissa,2001,36805.0,0.0036805
Pondicherry,1971,471.0,4.71e-05
Pondicherry,1981,604.0,6.04e-05
Pondicherry,1991,808.0,8.08e-05
Pondicherry,2001,974.0,9.74e-05
Puducherry,2011,1255.0,0.0001255
Puducherry,2016,0.14,1.4000000000000001e-08
Puducherry,2021,0.157,1.57e-08
Puducherry,2026,0.175,1.7499999999999998e-08
Puducherry,2031,0.196,1.96e-08
Puducherry,2036,0.218,2.18e-08
Punjab,1971,13552.0,0.0013552
Punjab,1981,16787.0,0.0016787
Punjab,1991,20282.0,0.0020282
Punjab,2001,24359.0,0.0024359
Punjab,2011,27704.0,0.0027704
Punjab,2016,2.91,2.91e-07
Punjab,2021,3.03,3.03e-07
Punjab,2026,3.13,3.13e-07
Punjab,2031,3.2,3.2e-07
Punjab,2036,3.26,3.26e-07
Rajasthan,1971,25739.0,0.0025739
Rajasthan,1981,34262.0,0.0034262
Rajasthan,1991,44006.0,0.0044006
Rajasthan,2001,56507.0,0.0056507
Rajasthan,2011,68548.0,0.0068548
Rajasthan,2016,7.42,7.42e-07
Rajasthan,2021,7.92,7.92e-07
Rajasthan,2026,8.36,8.359999999999999e-07
Rajasthan,2031,8.71,8.710000000000001e-07
Rajasthan,2036,9.05,9.050000000000001e-07
Sikkim,1981,316.0,3.16e-05
Sikkim,1991,406.0,4.06e-05
Sikkim,2001,541.0,5.41e-05
Sikkim,2011,611.0,6.11e-05
Sikkim,2016,0.064,6.4e-09
Sikkim,2021,0.067,6.7000000000000004e-09
Sikkim,2026,0.07,7.000000000000001e-09
Sikkim,2031,0.073,7.299999999999999e-09
Sikkim,2036,0.075,7.5e-09
Tamil Nadu,1971,41199.0,0.0041199
Tamil Nadu,1981,48408.0,0.0048408
Tamil Nadu,1991,55859.0,0.0055859
Tamil Nadu,2001,62406.0,0.0062406
Tamil Nadu,2011,72139.0,0.0072139
Tamil Nadu,2016,7.46,7.46e-07
Tamil Nadu,2021,7.64,7.64e-07
Tamil Nadu,2026,7.75,7.75e-07
Tamil Nadu,2031,7.808,7.808e-07
Tamil Nadu,2036,7.806,7.806e-07
Telangana,2011,3.5,3.5e-07
Telangana,2016,3.64,3.6400000000000003e-07
Telangana,2021,3.77,3.77e-07
Telangana,2026,3.86,3.86e-07
Telangana,2031,3.92,3.92e-07
Telangana,2036,3.94,3.94e-07
Tripura,1971,1556.0,0.0001556
Tripura,1981,2053.0,0.0002053
Tripura,1991,2756.0,0.0002756
Tripura,2001,3198.0,0.0003198
Tripura,2011,3674.0,0.0003674
Tripura,2016,0.387,3.87e-08
Tripura,2021,0.407,4.07e-08
Tripura,2026,0.426,4.26e-08
Tripura,2031,0.443,4.43e-08
Tripura,2036,0.456,4.5600000000000005e-08
Uttar Pradesh,1971,83850.0,0.008385
Uttar Pradesh,1981,105113.0,0.0105113
Uttar Pradesh,1991,132062.0,0.0132062
Uttar Pradesh,2001,166198.0,0.0166198
Uttar Pradesh,2011,199812.0,0.0199812
Uttar Pradesh,2016,21.6,2.16e-06
Uttar Pradesh,2021,23.09,2.309e-06
Uttar Pradesh,2026,24.28,2.4280000000000003e-06
Uttar Pradesh,2031,25.19,2.519e-06
Uttar Pradesh,2036,25.89,2.589e-06
Uttarakhand,2011,10086.0,0.0010086
Uttarakhand,2021,1.07,1.07e-07
Uttarakhand,2026,1.13,1.1299999999999999e-07
Uttarakhand,2031,1.19,1.19e-07
Uttarakhand,2036,1.25,1.25e-07
Uttarakhand,2041,1.29,1.29e-07
Uttaranchal,2001,8489.0,0.0008489
West Bengal,1971,44312.0,0.0044312
West Bengal,1981,54540.0,0.005454
West Bengal,1991,68078.0,0.0068078
West Bengal,2001,80177.0,0.0080177
West Bengal,2011,91276.0,0.0091276
West Bengal,2016,9.5,9.5e-07
West Bengal,2021,9.81,9.81e-07
West Bengal,2026,10.05,1.0050000000000001e-06
West Bengal,2031,10.21,1.021e-06
West Bengal,2036,10.29,1.029e-06
